station,start_at,end_at,path,start_time,end_time,start_date,start_hour,start_mn
9,2022-02-28T13:00:08,2022-02-28T14:00:08,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220228130008_20220228140008.mp4,2022-02-28 13:00:08,2022-02-28 14:00:08,2022-02-28,13,0
10,2022-03-05T15:00:09,2022-03-05T16:00:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220305150009_20220305160009.mp4,2022-03-05 15:00:09,2022-03-05 16:00:09,2022-03-05,15,0
9,2022-03-03T07:00:08,2022-03-03T08:00:08,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220303070008_20220303080008.mp4,2022-03-03 07:00:08,2022-03-03 08:00:08,2022-03-03,7,0
1,2022-03-02T20:00:00,2022-03-02T21:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220302200000_20220302210000.mp4,2022-03-02 20:00:00,2022-03-02 21:00:00,2022-03-02,20,0
2,2022-03-01T20:00:01,2022-03-01T21:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220301200001_20220301210001.mp4,2022-03-01 20:00:01,2022-03-01 21:00:01,2022-03-01,20,0
9,2022-03-02T07:00:08,2022-03-02T08:00:08,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220302070008_20220302080008.mp4,2022-03-02 07:00:08,2022-03-02 08:00:08,2022-03-02,7,0
10,2022-03-04T15:00:09,2022-03-04T16:00:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220304150009_20220304160009.mp4,2022-03-04 15:00:09,2022-03-04 16:00:09,2022-03-04,15,0
9,2022-03-02T11:41:08,2022-03-02T13:00:08,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220302114108_20220302130008.mp4,2022-03-02 11:41:08,2022-03-02 13:00:08,2022-03-02,11,41
9,2022-03-01T06:00:00,2022-03-01T07:00:08,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220301060000_20220301070008.mp4,2022-03-01 06:00:00,2022-03-01 07:00:08,2022-03-01,6,0
1,2022-02-28T08:00:00,2022-02-28T09:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220228080000_20220228090000.mp4,2022-02-28 08:00:00,2022-02-28 09:00:00,2022-02-28,8,0
1,2022-03-04T09:00:00,2022-03-04T10:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220304090000_20220304100000.mp4,2022-03-04 09:00:00,2022-03-04 10:00:00,2022-03-04,9,0
9,2022-02-28T21:00:08,2022-02-28T21:31:16,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220228210008_20220228213116.mp4,2022-02-28 21:00:08,2022-02-28 21:31:16,2022-02-28,21,0
1,2022-03-01T06:00:00,2022-03-01T07:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220301060000_20220301070000.mp4,2022-03-01 06:00:00,2022-03-01 07:00:00,2022-03-01,6,0
1,2022-03-02T11:41:08,2022-03-02T13:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220302114108_20220302130000.mp4,2022-03-02 11:41:08,2022-03-02 13:00:00,2022-03-02,11,41
2,2022-03-05T08:00:01,2022-03-05T09:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220305080001_20220305090001.mp4,2022-03-05 08:00:01,2022-03-05 09:00:01,2022-03-05,8,0
2,2022-02-28T12:00:01,2022-02-28T13:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220228120001_20220228130001.mp4,2022-02-28 12:00:01,2022-02-28 13:00:01,2022-02-28,12,0
